filename,filename1,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
2019-05-20 2018-12-18 PSY109 _mito_loc.csv,PSY109 25C 01 m-25.csv,PSY109 25C,283.66,587.25,107.35,534.67,748.3358718344174,4.4739,156.5298037506426,213.66587183441743,52.58000000000004,4.063633926101508,-25,25
2019-05-20 2018-12-18 PSY109 _mito_loc.csv,PSY109 25C 01 m-35.csv,PSY109 25C,283.66,587.25,107.35,534.67,743.1016579400105,5.3476,154.57423404891912,208.4316579400105,52.58000000000004,3.964086305439527,-35,25
2019-05-20 2018-12-18 PSY109 _mito_loc.csv,PSY109 25C 01 m-50.csv,PSY109 25C,283.66,587.25,107.35,534.67,732.41338423442,7.269,150.56458522492778,197.7433842344201,52.58000000000004,3.760809894150246,-50,25
2019-05-20 2018-12-18 PSY109 _mito_loc.csv,PSY109 25C 02 m-25.csv,PSY109 25C,298.09,623.89,220.14,534.67,853.4883955520255,5.036,204.02873907863386,318.81839555202555,89.22000000000003,3.573396049675246,-25,25
2019-05-20 2018-12-18 PSY109 _mito_loc.csv,PSY109 25C 02 m-35.csv,PSY109 25C,298.09,623.89,220.14,534.67,847.0414089950806,5.692,213.841180604357,312.37140899508063,89.22000000000003,3.501136617295231,-35,25
2019-05-20 2018-12-18 PSY109 _mito_loc.csv,PSY109 25C 02 m-50.csv,PSY109 25C,298.09,623.89,220.14,534.67,835.6377320169254,7.09,219.21529055007053,300.9677320169254,89.22000000000003,3.3733213631128147,-50,25
2019-05-20 2018-12-18 PSY109 _mito_loc.csv,PSY109 25C 03 m-25.csv,PSY109 25C,273.39,628.67,259.66,534.67,830.0347642733565,4.624,182.39748702422148,295.3647642733565,94,3.14217834333358,-25,25
2019-05-20 2018-12-18 PSY109 _mito_loc.csv,PSY109 25C 03 m-35.csv,PSY109 25C,273.39,628.67,259.66,534.67,828.5717258590902,5.209,198.38062008062968,293.9017258590902,94,3.1266141048839384,-35,25
2019-05-20 2018-12-18 PSY109 _mito_loc.csv,PSY109 25C 03 m-50.csv,PSY109 25C,273.39,628.67,259.66,534.67,827.6273448976403,6.399,250.64856227535554,292.9573448976404,94,3.116567498911068,-50,25
2019-05-20 2018-12-18 PSY109 _mito_loc.csv,PSY109 25C 04 m-25.csv,PSY109 25C,241.49,604.76,121.92,534.67,892.1941150223104,2.2187,257.7203912200838,357.5241150223104,70.09000000000003,5.1009290201499535,-25,25
